State,Pop,Per_Capita_2018,Per_Capita_2017,Per_Capita_2016,Per_Capita_2015,Per_Capita_2014,Per_Capita_2013,Une_Rate_2018,Une_Rank_2018,Une_Rate_2017,Une_Rank_2017,Une_Rate_2016,Une_Rank_2016,Une_Rate_2015,Une_Rank_2015,Une_Rate_2014,Une_Rank_2014,Une_Rate_2013,Une_Rank_2013
Alabama,4908621,42334,48123,46257,44765,42830,42849,3.9,27,4.4,29,5.8,44,6.1,42,6.8,39,7.2,29
Alaska,734002,59687,73181,76440,73355,71583,72237,6.5,51,6.9,51,6.9,51,6.5,47,6.9,43,7,27
Arizona,7378494,43650,56581,53558,51492,50068,48510,4.7,45,4.9,40,5.4,39,6.1,42,6.8,39,7.7,35
Arkansas,3038999,42566,45869,44334,41995,41262,40511,3.6,22,3.7,16,4,14,5,24,6,25,7.2,29
California,39937489,62586,71805,67739,64500,61933,60190,4.3,39,4.8,39,5.5,42,6.2,44,7.5,47,8.9,48
Colorado,5845526,56846,69117,65685,63909,61303,58823,3.2,13,2.8,4,3.3,7,3.9,10,5,15,6.9,25
Connecticut,3563077,74561,74168,73433,71346,70048,67098,4.1,33,4.7,35,5.1,33,5.7,35,6.6,35,7.8,38
Delaware,982895,51449,62852,61757,61255,59716,57846,3.8,25,4.5,31,4.5,20,4.9,22,5.7,20,6.7,19
District of Columbia,720687,55328,53780,52914,53193,48709,49102,5.7,50,6.1,50,6.1,47,6.9,51,7.8,50,8.5,45
Florida,21992985,49417,52594,50860,49426,47463,46036,3.6,22,4.2,23,4.8,25,5.5,31,6.3,29,7.2,29
Georgia,10736059,45745,56183,53559,51244,49321,47829,3.9,27,4.7,35,5.4,39,6,38,7.1,44,8.2,43
Hawaii,1412687,54565,77765,74511,73486,69592,68020,2.5,1,2.4,1,3,2,3.6,5,4.4,10,4.9,8
Idaho,1826156,43155,52225,51807,48275,47861,46783,2.9,6,3.2,8,3.8,10,4.1,11,4.8,14,6.1,15
Illinois,12659682,56933,62992,60960,59588,57444,56210,4.3,39,4.9,40,5.8,44,6,38,7.1,44,9,49
Indiana,6745354,46646,54181,52314,50532,49446,47529,3.5,19,3.6,14,4.4,19,4.8,20,6,25,7.7,35
Iowa,3179849,48823,58570,56247,54736,53712,52229,2.6,3,3.1,7,3.6,9,3.8,9,4.2,7,4.7,6
Kansas,2910357,50155,56422,54935,53906,52504,50972,3.3,16,3.6,14,4,14,4.2,12,4.5,11,5.3,11
Kentucky,4499692,41779,45215,42958,43399,41724,41141,4.3,39,4.9,40,5.1,33,5.3,27,6.5,33,8,41
Louisiana,4645184,45542,46145,45146,45727,44555,44164,4.9,47,5.1,46,6.1,47,6.3,45,6.4,32,6.7,19
Maine,1345790,48241,55277,53079,51494,49462,46974,3.2,13,3.4,12,3.8,10,4.4,15,5.6,19,6.6,17
Maryland,6083116,62914,80776,78945,75847,73971,72483,3.9,27,4.2,23,4.5,20,5.1,26,5.8,22,6.6,17
Massachusetts,6976597,70073,77385,75297,70628,51084,69160,3.4,17,3.7,16,3.9,12,4.8,20,5.7,20,6.7,19
Michigan,10045029,47582,66768,54909,52491,63488,49847,4.1,33,4.6,33,5,29,5.4,30,7.2,46,8.8,47
Minnesota,5700671,56374,48273,68388,65599,40593,61481,2.9,6,3.4,12,3.9,12,3.7,8,4.2,7,5,9
Mississippi,2989260,37994,60702,43529,41754,39860,37963,4.8,46,5.1,46,5.8,44,6.4,46,7.5,47,8.5,45
Missouri,6169270,46635,53578,51746,50238,48363,46931,3.2,13,3.7,16,4.6,22,5,24,6.1,27,6.7,19
Montana,1086759,47120,53386,50027,49509,46328,46972,3.6,22,3.9,21,4.1,17,4.2,12,4.7,13,5.4,13
Nebraska,1952570,52110,59970,56927,54996,52686,51440,2.9,6,2.9,5,3.1,4,3,2,3.3,2,3.8,2
Nevada,3139658,48225,58003,55180,52431,51450,51230,4.4,42,5,44,5.7,43,6.7,49,7.9,51,9.6,51
New Hampshire,1371246,61405,73381,70936,70303,66532,64230,2.6,3,2.7,2,2.9,1,3.4,4,4.3,9,5.1,10
New Jersey,8936574,67609,80088,76126,72222,71919,70165,4.1,33,4.6,33,5,29,5.8,37,6.8,39,8.2,43
New Mexico,2096640,41198,46744,46748,45382,44803,43872,4.9,47,5.9,49,6.6,50,6.5,47,6.7,38,6.9,25
New York,19440469,68667,64894,62909,60850,58878,57369,4.1,33,4.7,35,4.9,28,5.3,27,6.3,29,7.7,35
North Carolina,10611862,45834,52752,50584,47830,46556,45906,4,31,4.5,31,5.1,33,5.7,35,6.3,29,8,41
North Dakota,761723,54306,61843,60656,60557,59029,55759,2.6,3,2.7,2,3.1,4,2.8,1,2.7,1,2.9,1
Ohio,11747694,48242,54021,52344,51075,49308,48081,4.5,43,5,44,5,29,4.9,22,5.8,22,7.5,33
Oklahoma,3954821,46128,50051,49176,48568,47529,45690,3.4,17,4.2,23,4.8,25,4.4,15,4.5,11,5.3,11
Oregon,4301089,49908,60212,57532,54148,51075,50251,4.1,33,4.1,22,4.8,25,5.6,32,6.8,39,7.9,40
Pennsylvania,12820878,55349,59105,56907,55702,53234,52007,4.2,38,4.9,40,5.4,39,5.3,27,5.9,24,7.4,32
Rhode Island,1056161,54523,63870,60596,58073,54891,55902,4,31,4.4,29,5.2,36,6,38,7.7,49,9.3,50
South Carolina,5210095,42736,50570,49501,47238,45238,44163,3.5,19,4.3,27,5,29,6,38,6.5,33,7.6,34
South Dakota,903027,50141,56521,54467,53017,50979,48947,3.1,12,3.2,8,3,2,3.1,3,3.4,3,3.8,2
Tennessee,6897576,47179,51340,48547,47275,44361,44297,3.5,19,3.8,20,4.7,24,5.6,32,6.6,35,7.8,38
Texas,29472295,49161,59206,56565,55653,53035,51704,3.8,25,4.3,27,4.6,22,4.4,15,5.1,16,6.3,16
Utah,3282115,45340,65358,65977,62912,60922,59770,3,9,3.3,10,3.4,8,3.6,5,3.8,4,4.6,5
Vermont,628061,53598,57513,57677,56990,54166,52578,2.5,1,2.9,5,3.2,6,3.6,5,3.9,5,4.4,4
Virginia,8626207,56952,71535,68114,66262,64902,62666,3,9,3.7,16,4.1,17,4.5,18,5.2,17,5.7,14
Washington,7797095,60781,70979,67106,64129,61366,58405,4.5,43,4.7,35,5.3,37,5.6,32,6.1,27,7,27
West Virginia,1778070,40578,43469,43385,42019,41059,41253,5.2,49,5.2,48,6.1,47,6.7,49,6.6,35,6.8,24
Wisconsin,5851754,50756,59305,56811,55638,52622,51467,3,9,3.3,10,4,14,4.5,18,5.4,18,6.7,19
Wyoming,567025,60095,60434,59882,60214,57055,58752,3.9,27,4.2,23,5.3,37,4.3,14,4.1,6,4.7,6
,,,,,,,,,,,,,,,,,,,
